id,kind,shortname,naive_change,outcomes,description,attractor_id
S-01,stressor,skill-version-drift,Add version field to skill front-matter and a check command that compares installed vs embedded,skill versions remain consistent across binary updates,An operator installs a skill and later updates the binary — the installed skill is now at an older version with different methodology,A-03
S-02,stressor,lexicon-scale-lag,Add indexing or caching for the term set; keep term_set() as a HashSet for O(1) lookup,the system validates each trait without blocking commits,terminology.csv grows to 200+ terms and trait validation becomes prohibitively slow,A-04
S-03,stressor,concurrent-purpose-write,CSV append is not atomic; add file locking or make append idempotent by checking for duplicate IDs,concurrent stressor writes preserve data consistency,Two operators run purpose-walk concurrently and both append to purposes.csv simultaneously,A-04
S-04,stressor,partial-init-clobber,init must be idempotent: only write files that don't exist; never overwrite existing data,init preserves existing attractor links when run in a populated directory,An operator runs residual init in a directory that already has partial residual/ data — some files exist some don't,A-04
S-05,stressor,skill-token-warn-miss,Add token estimation check in skill-show and skill-list; warn when approaching token_warn from storage-config,token warnings surface before any skill exceeds the warn limit,The token_warn limit is exceeded by a skill and no warning is surfaced,A-03
S-06,stressor,verify-hook-bypass,Build lexicon HashSet once per invocation; emit elapsed-time warning in verify output when the check exceeds 2 seconds,trait validation completes without triggering hook avoidance,"Terminology validation in the pre-commit hook becomes slow enough that operators bypass it with --no-verify, admitting unverified traits to the repository",A-02
S-07,stressor,skill-stub-burden,Replace versioned installed stubs with static passthrough scripts that invoke the binary for content; remove version tracking from the installed file format,skill stubs delegate content retrieval without requiring version management,"The skill install-and-check lifecycle creates ongoing maintenance burden — users must track, update, and reconcile installed stubs that could instead delegate all content to the binary",A-03
S-08,stressor,absent-metadata-session,"Skills detect absence of stressors, purposes, and attractors at session start; skill-data warns and offers a bootstrapping checklist before proceeding to analysis",skill sessions detect absent metadata before producing architecture analysis,An operator runs residual skill sessions on a preexisting project with no residual/ metadata — skills assume initialized data and produce empty or misleading outputs rather than pivoting to a capture-first mode,A-05
S-09,stressor,unverified-baseline,Skills inspect recent git log for commits that touched residual/ without a passing verify; surface the unverified window at session start and switch to a change-tracking focus before analysis,skill sessions surface unverified stressor entries before analysis begins,"A commit lands via --no-verify or direct CSV edit, bypassing the pre-commit hook — residuals data now contains unvalidated state that no skill session can safely trust as a baseline",A-05
S-10,stressor,tag-scan-false-coverage,"Treat tag-scan as a suggestion system: allow stressor entries marked as coverage-exempt; tag-scan reports confidence rather than compliance; manual CSV edit is a first-class workflow, not a workaround",stressor tagging acts as a suggestion rather than a hard coverage requirement,"Third-party libraries, generated files, and non-standard formats resist annotation — operators must manually edit CSVs, making tag-scan coverage readings misleading and creating false integrity signals",A-05
S-11,stressor,cross-store-incongruence,"Add components.csv as a first-class registry; expand verify links to check component references; write unit tests asserting: stressor attractor_ids exist in attractors.csv, component names resolve in components.csv, and trait words resolve in terminology.csv",attractor references remain valid across all residuals data stores,"Stressor traits use plural and undefined terminology forms that fail verification, components exist only as free text with no registry, and no cross-store connectivity tests exist — data appears locally valid but fails as a system",A-05
S-12,stressor,lexicon-alias-gap,"Each lexicon entry carries a quoted alias list in addition to its canonical form; term_set expands all aliases; e.g. ""'hyphenated-example' 'example-with-dash' 'this example has a dash in it' 'example, with hyphen'"" all resolve to the same term for matching",trait validation matches term aliases without penalizing plural or hyphenated variants,"A trait references 'families' but terminology only defines 'family' — exact-word matching rejects valid plural, hyphenated, phrase, and language-variant forms like die/dice or alumnus/alumni, producing false violations that erode trust in verify",A-02
S-13,stressor,format-backend-lockin,Introduce storage-format + storage-migration behind storage; CSV is the initial implementation; format_version keys transfer; alternate backends deferred,stressor data survives a storage format version migration keyed by a version number without loss or schema change,"Projects want to store residuals data in TOML, JSON, SQLite, or a remote API — the CSV format is baked directly into every entity module with no I/O abstraction, making format migration require rewriting stressors, purposes, attractors, terminology, and personas separately",A-04
S-14,stressor,stressor-fire-blind,"Add a detection_mechanism on stressor forces; field is free text describing observable signals that confirm the stressor is active (e.g. 'verify exits non-zero', 'git log shows --no-verify flag', 'matrix K/N > 1.0'); verify checks the field is non-empty for stressors targeting failing attractor pressure",stressor entries declare detection mechanisms for observing attractor drift in practice,"Stressors have no field for how to detect whether they have fired — neither the CSV schema nor the tag-scan system surfaces observable signals (log patterns, metric thresholds, git hook output) that indicate a stressor is active in the real system",A-05
S-15,stressor,orphan-component-column,Require each residue component_id to resolve in components.csv before verify links passes; undefined component references are link violations; matrix columns come from residues against the registry,stressor components resolve against a defined component registry before validation passes,"A stressor references a component name that has no entry in components.csv — the matrix displays a column for a component that has never been defined, described, or scoped, making the coupling analysis meaningless",A-05
S-16,stressor,proposed-as-actual,components.csv carries status (proposed / actual) and architecture_set; structure filter/group targets a set; matrix can render a single set or a diff across two sets,operators explore proposed attractor states as named component sets without implying implementation,"An operator interprets residual components as code modules that must be fully implemented, or treats the component list as the actual system rather than a proposed architectural state space — adding five new components for comparison requires the same investment as the baseline, defeating the purpose of exploratory parallel architectures",A-05
S-17,stressor,embedded-component-fields,residues.csv owns force_id × component_id; legacy components_affected/components_enabled stay transitional mirrors only; verify links checks residues against registry and force ids,residue analysis is decoupled from stressor and purpose field definitions,"Stressor and purpose records embed component references directly in their fields — changing a component name or scope requires editing every stressor and purpose that mentions it; the 'which components survive this stressor' analysis has no dedicated home and cannot be versioned, compared, or queried independently",A-04
S-18,stressor,flat-parallel-blind,"structure EXTERNAL filter/sort/group API (default group=attractor); matrix show accepts subset filters (--group, --architecture-set, force/component selectors) and renders a single set or all sets with visual section separators",operators filter stressor and matrix views by group or architecture_set to inspect parallel architectures independently,"An operator has accumulated many stressors, purposes, and components across concerns, teams, and parallel architecture sets — the flat matrix/list view with no grouping or subset filter makes relationships invisible and parallel architectures indistinguishable from the baseline; the operator cannot zoom to one attractor, architecture_set, or force cohort without reading the whole grid",A-05
S-19,stressor,purpose-residue-gap,residues.csv force_id accepts both stressor and purpose ids via forces.csv; unified picture of how each component serves or fails across stress and intent,residue records connect stressor and purpose entries within a unified group view,"residues.csv as designed in S-17 only carries stressor-sourced rows — purposes have no residue representation, making it impossible to see in one view which purposes are supported or undermined by which component and stressor combinations",A-04
S-20,stressor,silent-residue-clobber,storage-sessions change-detection hash; before write recompute and require --force on drift; storage-format performs the guarded CSV write,residue files preserve manual modifications and surface diffs before any overwrite occurs,"The CLI overwrites residues.csv (and other managed files) without checking for manual modifications — an operator who has annotated residue statuses, added notes, or rearranged rows loses those changes silently; no diff, no warning, no backup; the problem is sharpest for residues.csv but applies to all files",A-05
S-21,stressor,phase-rigidity-assumption,skill-data and CLI process text include fluent-usage notes; cli-help artifacts lead with the fluent entry model; skills describe themselves as analytical lenses rather than mandatory gates,skill sessions communicate fluent stressor entry to counter phase-rigidity assumptions,"An operator trained on rigid phase-gated methodologies assumes skills must run in order, phases cannot overlap, and metadata must be complete before analysis — the tool does nothing to surface its fluent nature, causing operators to over-structure their workflow or abandon the tool as too prescriptive",A-05
S-22,stressor,prospect-efficacy-doubt,Design and execute controlled studies; derive and document alpha/beta; publish communicable robustness evidence alongside persona-walk defaults,operator communicates residual-architecture robustness to a prospect via study and persona outcomes,Prospect skepticism of residuality efficacy blocks adoption — without robust studies and empirical alpha/beta perspective measures the method looks like ungrounded ceremony,A-01
S-23,stressor,software-only-zag,Skills and CLI remind the operator to examine whole-system-residue before software patches; reminder is incentive-aligned not foolproof,operator examines whole-system-residue before recording a software-only naive change,"Operator prematurely decides on a software fix for a stressor and never examines hardware, process, organization, or policy zig",A-07
S-24,stressor,ceremony-lockout,Make skill steps selectable; enforce residual structure via verify without mandating ceremony order,operator uses residual a-la-carte without being forced through unused skill phases,"Operator workflows are not considered — the tool demands a rigid full skill sequence and rejects a-la-carte use, so operators abandon residuality or fake compliance",A-06
S-25,stressor,attractor-valence-blind,Require each attractor to define positive_state and negative_state; migrate off single-valence attractor classification,operator links each stressor to an attractor that has both positive and negative state pressure,Operator cannot tell why a stressor hurts the project because attractors lack paired positive and negative pressure — the stressor has nowhere coherent to land,A-01
S-26,stressor,matrix-viewport-blind,"matrix show paints true background heat (not digit tint), always shows row/column/grand totals, supports --csv for external sticky viewers, and documents sticky header/label limits of the terminal table (or ships a pager/TUI path when the grid exceeds the viewport)","operator reads coupling density, row/column totals, and force labels without losing orientation in the matrix viewport","The NKP matrix is hard to read at dogfood scale — coupling heat does not read as a heatmap, row/column totals are missing or easy to lose, and headers/row labels scroll off-screen — so operators miss hyperliminal bands, fission candidates, and which forces drive K",A-01
S-27,stressor,residue-matrix-shape,"store residues as a matrix-shaped artifact (force shortnames × component ids, cells = status/notes) with CSV round-trip that remains human-editable; keep append/insert ergonomics via the tool while making eyeball edits match matrix show",operator reads and edits residue coupling as a matrix rather than as opaque database rows,"residues.csv is shaped like a normalized database table (id, force_id, component_id, status, notes) — operators cannot read coupling at a glance or edit a force×component cell without the tool; direct spreadsheet modification and review without residual CLI become unrealistic",A-04
S-28,stressor,lexicon-commit-drift,Add commit-msg hook with lexicon/component validation; block conventional commit types when commit_msg_enforce is true; allow general - override,operator commits omit defined outcome from subjects,Operators use conventional commit prefixes (fix:/chore:/refactor:) that carry no project vocabulary — git log drifts from lexicon and components.csv,A-02
P-01,purpose,purpose-cli-add,`residual add purpose` CLI command,operator adds purposes tied to an attractor without writing code,An operator can define and iterate on project purposes without writing code,A-01
P-02,purpose,skill-data-context,`residual skill-data <name>` prints formatted markdown context,operator begins skill sessions with current residual context,An operator can retrieve all current project context before starting a skill session,A-01
P-03,purpose,skill-install-paths,`residual skill install --agent <name>` command; `skill install all --agent all` to batch-install across every agent,operator installs skill files without manual file copying; operator installs all skills for all agents with `skill install all --agent all`,An operator can install skills into any supported agent's config directory without manual file management,A-01
P-04,purpose,verify-hook-integrity,pre-commit git hook runs `residual verify all`,operator cannot commit invalid traits or broken attractor links,Data integrity is enforced before any commit touches residual/ files,A-01
P-05,purpose,hyperliminal-matrix,`residual matrix show` with colored table output,operator surfaces hyperliminal coupling without manual matrix calculation,The NKP matrix provides visual evidence of hyperliminal coupling and fusion/fission candidates,A-01
P-06,purpose,skill-version-check,Version field in skill front-matter; `residual skill-check` command,operator detects when a cached skill is outdated,Skills self-report their version so an operator can detect and respond to staleness,A-03
