id,name,description,positive_state,negative_state
A-01,Methodology Credibility,The residuality method has demonstrable communicable evidence of its efficacy,The residuality method has demonstrable evidence of efficacy that is communicable to prospects,The residuality method looks like ungrounded ceremony — prospects cannot evaluate its claims empirically
A-02,Terminology Drift,Domain terms accumulate without definitions or become inconsistent across files,Lexicon aliases cover plural hyphen and phrase forms; outcome validation hits defined terms without false rejects,Outcomes fail validation; lexicon grows stale; operator sessions invent contradictory terms
A-03,Skill Staleness,Installed skill files diverge from embedded skill definitions in the binary,Installed stubs match embedded skill versions or delegate content to the binary; skill-check stays green,Operators work from outdated methodology; skill-check reports version mismatch
A-04,Data Fragmentation,residual/ files become inconsistent — stressors reference nonexistent attractors; traits have no terminology basis,"Forces, residues, sessions, and format migration keep residual/ consistent under concurrent and migrated writes",verify all returns violations; change-detection is ignored; no trustworthy baseline for FMEA or ATAM
A-05,Residuals Incongruence,"The residual/ data diverges from the actual project state — stressors reference obsolete components, traits fail validation silently, and skill sessions produce analysis grounded in fabricated architecture",residual/ mirrors the proposed architecture_set; residues resolve to registry names; tag-scan suggestions align with verification,Obsolete component tokens remain; skill-data surfaces stale or empty metadata; analysis is grounded in fabricated architecture
A-06,Fluent Architecture Capture,"Metadata additions land in the right place regardless of session phase or explicit skill invocation — the tool meets the operator where they are, minimizing cognitive overhead of maintaining accurate residuals data",Stressors and purposes land mid-session without phase ceremony; a-la-carte skills remain usable; verify enforces structure not order,Operators over-gate phases or abandon the tool as too rigid
A-07,Software-Only Tunnel Vision,"Residues are assumed to be code changes; stressors better answered by hardware, process, or policy zig are forced into brittle software zags",Operator examines whole-system-residue before recording a software-only naive change,"Stressors are forced into brittle software zags when hardware, process, organization, or policy would survive better"
A-08,Tooling Circumvention,"Data operations are performed directly on residual/ files rather than through the CLI, bypassing ID generation, idempotency checks, and verify",operators and agents use residual CLI for all data operations; direct file edits are reserved for operations the tool does not support,"operators bypass the CLI with direct CSV edits, scripts, or raw mutations; ID generation, idempotency, and verify are silently skipped"
A-09,Agent Framework Coherence,"Tracks whether agents operating within residuality correctly understand its primitives, terminology, and methodology",The agent understands the residuality framework and its terms,The agent fails to understand the residuality framework or its terms
A-10,Initialization Completion,Tracks whether agents correctly establish ledger primitives before beginning skill analysis,The agent initializes the ledger before entering framework steps,The agent jumps into framework steps before initialization is complete
