id,shortname,description,naive_change,outcomes,components,attractor_id
P-01,purpose-cli-add,An operator can define and iterate on project purposes without writing code,`residual add purpose` CLI command,operator adds purposes tied to an attractor without writing code,"structure-analysis-purposes, structure-analysis-force, cli",A-06
P-02,skill-data-context,An operator can retrieve all current project context before starting a skill session,`residual skill-data <name>` prints formatted markdown context,operator begins skill sessions with current residual context,skills-phases,A-06
P-03,skill-install-paths,An operator can install skills into any supported agent's config directory without manual file management,`residual skill-install --agent <name>` command,operator installs skill files without manual file copying,skills-installer,A-03
P-04,verify-hook-integrity,Data integrity is enforced before any commit touches residual/ files,pre-commit git hook runs `residual verify all`,operator cannot commit invalid traits or broken attractor links,"verification, verification-git-hook",A-05
P-05,hyperliminal-matrix,The NKP matrix provides visual evidence of hyperliminal coupling and fusion/fission candidates,`residual matrix show` with colored table output,operator surfaces hyperliminal coupling without manual matrix calculation,structure-analysis,A-06
P-06,skill-version-check,Skills self-report their version so an operator can detect and respond to staleness,Version field in skill front-matter; `residual skill-check` command,operator detects when a cached skill is outdated,"skills-installer, skills-phases",A-03
P-07,fluent-metadata-capture,"The LLM interface accepts metadata additions in any order, at any phase, without explicit skill invocation or context switching — an operator records architecture as it comes to them","Conversational metadata entry: stressors, purposes, terms, and attractors can be added mid-session without phase discipline or skill ceremony",operator records stressor narratives without switching between skill phases,"skills-phases, cli",A-06
P-08,solo-workflow-complete,An operator can start and complete residuality workflow artifacts without outside input; consulting others remains desirable but optional,residual init + skill-data/skill sessions + verify all; core residual/ structure required,operator produces a residual tree that passes verify without outside input,"cli, skills-phases, verification, storage",A-06
P-09,alacarte-skill-walk,"An operator follows residuality a-la-carte — required core residual structure, optional skill sequence — so existing operator workflows remain feasible",skills and CLI treat purpose-walk through ATAM as selectable steps; verify enforces structure not ceremony,operator completes residual work using only the skill steps their workflow needs,"skills-phases, verification",A-06
P-10,persona-stressor-walk,An operator surfaces stressors from multiple personas so lone or small-team walks are not limited to a single perspective; default adequacy is two personas — one stakeholder and one direct user — unless the operator sets a different bar,residual/personas/*.md consumed by stressor-walk; default walk expects stakeholder + direct-user personas; later outcome: empirically derive alpha/beta perspective-heterogeneity coefficients and encode them,operator records stressors drawn from at least two personas including one stakeholder and one direct user; outcome includes eventual empirical alpha/beta encoding for perspective heterogeneity,"skills-personas, skills-phases, skills-research",A-06
P-11,probability-free-explore,An operator explores application state space fully as stressors explored and attractors discovered,stressors.csv + attractors.csv as the primary exploration ledger; schema omits probability fields because probability-framing narrows attention to pre-weighted futures and blocks discovery of unforeseen attractors,operator records stressors and attractors that constitute the explored state space,"structure-analysis-stressors, structure-analysis-attractors, structure-analysis-force",A-06
P-12,whole-system-residue-zig,"An operator records residues that answer stressors by changing hardware, process, organization, or policy when that zig survives better than a software-only zag",naive_change (and later residues) accept whole-system-residue; skills and CLI prompt for non-software zig before software patch,operator records whole-system-residue when the surviving change leaves the software boundary,"structure-analysis-residues, skills-phases, cli",A-07
P-13,criticality-ri-judge,"An operator judges residual-architecture quality by progress toward criticality and by comparing naive-architecture versus residual-architecture survival across recorded stressors (Ri), not by pattern compliance",residual matrix criticality + residual matrix ri,operator computes criticality and Ri from residual artifacts after stressor exposure,"structure-analysis, structure-definition-iterations",A-05
P-14,longitudinal-study-ri,Residual-architecture demonstrates longitudinal superiority in real environments by surviving more foreseen and unforeseen stressors past an Ri threshold,design and execute a controlled longitudinal study comparing residuality-guided architectures against risk/pattern baselines; publish protocol and results,outcome evidences residual-architecture survival past the Ri threshold across recorded stressors,research-study,A-01
P-15,communicable-robustness,"Operators and prospects can see robustness of the method through studies and through encoded perspective-heterogeneity (alpha/beta), so efficacy is communicable not merely asserted",published study artifacts plus documented alpha/beta derivation path tied to persona-driven walks,operator communicates residual-architecture robustness to a prospect via study outcomes and persona measures,"research-study, skills-personas",A-01
P-16,attractor-dual-pressure,Every attractor carries both positive and negative state pressure so operators know what/why/how keeps the attractor going and what failure looks like,attractor records expose positive_state and negative_state (replacing single valence classification); skills require both sides before an attractor is considered defined,operator defines each attractor with a positive state and a negative state,"structure-analysis-attractors, skills-phases, verification",A-09
P-17,outcome-aligned-forces,Purposes and stressors express outcomes — including modes of operation and ways of being — with schema and CLI language aligned to outcome rather than one-off feature checklists alone,rename/extend purpose feature+traits fields toward outcome semantics in CLI and CSV while preserving verify,operator records outcomes that encode end states or modes of operation using defined terminology,"structure-analysis-purposes, structure-analysis-stressors, structure-analysis-force, cli",A-06
P-18,lexicon-project-wide,Git history uses project lexicon and component vocabulary so operators can read architectural intent from git log,commit-msg hook + verify commit-msg validate subject against lexicon/components/forces,operator reads commit history using defined outcome,"verification-git-hook, structure-definition-lexicon, structure-definition-components, verification",A-02
P-19,persona-subagent-depth,Architectural insights from personas are maximized when each persona runs as an isolated subagent with staged analysis rather than inline alongside the main conversation,"Persona walks in later phases use isolated subagents that go through staged analysis: initial skepticisms and desires, attractor review, full force review, then handled/unhandled analysis before reporting to the parent",personas generate forces and residues reflecting the real state space; each persona produces a handled/unhandled analysis that surfaces genuinely unaddressed concerns,,A-06
P-20,skill-bootstrap-orient,An agent or operator invoking any skill on an uninitialized project is guided by skill data to establish the three primitives in the correct order and form before analysis begins,"skill data emits a Bootstrap Required section with attractor, stressor, and purpose definitions and bootstrapping steps when the ledger is uninitialized or underspecified","operator establishes attractor, stressor, and purpose primitives before beginning skill analysis",skills-phases,A-10
